,Choice Label,label::French,Comments,label: Spanish,Spanish Translation
239,China,Chine,,,China
240,Christmas Island,Île Christmas,,,Isla de Navidad
241,Cocos (Keeling) Islands,Îles Cocos (Keeling),,,Islas Cocos (Keeling)
242,Colombia,Colombie,,,Colombia
243,Comoros,Comores,,,Comoras
244,Congo,"Congo, La République Démocratique du",,,Congo
245,"Congo, the Democratic Republic of the",République du Congo,,,"Congo, la República Democrática del"
246,Cook Islands,Îles Cook,,,Islas Cook
247,Costa Rica,Costa Rica,,,Costa Rica
248,Cote d'Ivoire,Côte D'ivoire,,,Costa de Marfil
249,Croatia,Croatie,,,Croacia
250,Cuba,Cuba,,,Cuba
251,Cyprus,Chypre,,,Chipre
252,Czech Republic,République Tchèque,,,Republica checa
253,Denmark,Danemark,,,Dinamarca
254,Djibouti,Djibouti,,,Djibouti
255,Dominica,Dominique,,,Dominica
256,Dominican Republic,"Dominicaine, République",,,República Dominicana
257,Ecuador,Équateur,,,Ecuador
258,Egypt,Égypte,,,Egipto
259,El Salvador,El Salvador,,,El Salvador
260,Equatorial Guinea,Guinée Équatoriale,,,Guinea Ecuatorial
261,Eritrea,Érythrée,,,Eritrea
262,Estonia,Estonie,,,Estonia
263,Ethiopia,Éthiopie,,,Etiopía
264,Falkland Islands (Malvinas),"Falkland, Îles (Malvinas)",,,Islas Malvinas (Falkland Islands)
265,Faroe Islands,Îles Féroé,,,Islas Faroe
266,Fiji,Fidji,,,Fiyi
267,Finland,Finlande,,,Finlandia
268,France,France,,,Francia
269,French Guiana,Guyane Française,,,Guayana Francesa
270,French Polynesia,Polynésie Française,,,Polinesia francés
271,French Southern Territories,Terres Australes Françaises,,,Territorios Franceses del Sur
272,Gabon,Gabon,,,Gabón
273,Gambia,Gambie,,,Gambia
274,Georgia,Géorgie,,,Georgia
275,Germany,Allemagne,,,Alemania
276,Ghana,Ghana,,,Ghana
277,Gibraltar,Gibraltar,,,Gibraltar
278,Greece,Grèce,,,Grecia
279,Greenland,Groenland,,,Tierra Verde
280,Grenada,Grenade,,,Granada
281,Guadeloupe,Guadeloupe,,,Guadalupe
282,Guam,Guam,,,Guam
283,Guatemala,Guatemala,,,Guatemala
284,Guinea,Guinéee,,,Guinea
285,Guinea-Bissau,Guinée-Bissau,,,Guinea-Bissau
286,Guyana,Guyana,,,Guayana
287,Haiti,Haïti,,,Haití
288,Holy See (Vatican City State),Saint-Siège (État de la Cité du Vatican),,,Santa Sede (Estado de la Ciudad del Vaticano)
289,Honduras,Honduras,,,Honduras
290,Hong Kong,Hong-Kong,,,Hong Kong
291,Hungary,Hongrie,,,Hungría
292,Iceland,Islande,,,Islandia
293,India,Inde,,,India
294,Indonesia,Indonésie,,,Indonesia
295,"Iran, Islamic Republic of",République Islamique d' Iran,,,Irán (República Islámica de
296,Iraq,Iraq,,,Irak
297,Ireland,Irlande,,,Irlanda
298,Israel,Israël,,,Israel
299,Italy,Italie,,,Italia
300,Jamaica,Jamaïque,,,Jamaica
301,Japan,Japon,,,Japón
302,Jordan,Jordanie,,,Jordán
303,Kazakhstan,Kazakstan,,,Kazakhstan
304,Kenya,Kenya,,,Kenia
305,Kiribati,Kiribati,,,Kiribati
306,"Korea, Democratic People's Republic of","Corée, République Populaire Démocratique de",,,"República de Corea, Popular Democrática de"
307,"Korea, Republic of","Corée, République de",,,"Corea, república de"
308,Kuwait,Koweït,,,Kuwait
309,Kyrgyzstan,Kirghizistan,,,Kirguistán
310,Lao People's Democratic Republic,"Lao, République Démocratique Populaire",,,República Democrática Popular Lao
311,Latvia,Lettonie,,,Letonia
312,Lebanon,Liban,,,Líbano
313,Lesotho,Lesotho,,,Lesoto
314,Liberia,Libéria,,,Liberia
315,Libya,Libye,,,Libia
316,Liechtenstein,Liechtenstein,,,Liechtenstein
317,Lithuania,Lituanie,,,Lituania
318,Luxembourg,Luxembourg,,,Luxemburgo
319,Macao,Macao,,,Macao
320,"Macedonia, the Former Yugoslav Republic of","Macédoine, l'ex-République Yougoslave de",,,"Macedonia, la ex República Yugoslava de"
321,Madagascar,Madagascar,,,Madagascar
322,Malawi,Malawi,,,Malawi
323,Malaysia,Malaisie,,,Malasia
324,Maldives,Maldives,,,Maldivas
325,Mali,Mali,,,mali
326,Malta,Malte,,,Malta
327,Marshall Islands,Îles Marshall,,,Islas Marshall
328,Martinique,Martinique,,,Martinica
329,Mauritania,Mauritanie,,,Mauritania
330,Mauritius,Île Maurice,,,Mauricio
331,Mayotte,Mayotte,,,Mayotte
332,Mexico,Mexique,,,Mexico
333,"Micronesia, Federated States of",États Fédérés de Micronésie,,,"Micronesia, Estados Federados de"
334,"Moldova, Republic of","Moldova, République de",,,"Moldavia, República de"
335,Monaco,Monaco,,,Mónaco
336,Mongolia,Mongolie,,,Mongolia
337,Montenegro,Monténégro,,,Montenegro
338,Montserrat,Montserrat,,,Montserrat
339,Morocco,Maroc,,,Marruecos
340,Mozambique,Mozambique,,,Mozambique
341,Myanmar,"Myanmar, Birmanie",,,Myanmar
342,Namibia,Namibie,,,Namibia
343,Nauru,Nauru,,,Nauru
344,Nepal,Népal,,,Nepal
345,Netherlands,Pays-Bas,,,Países Bajos
346,New Caledonia,Nouvelle-Calédonie,,,Nueva Caledonia
347,New Zealand,Nouvelle-Zélande,,,Nueva Zelanda
348,Nicaragua,Nicaragua,,,Nicaragua
349,Niger,Niger,,,Níger
350,Nigeria,Nigéria,,,Nigeria
351,Niue,Nioué,,,Niue
352,Northern Mariana Islands,Îles Mariannes du Nord,,,Islas Marianas del Norte
353,Norway,Norvège,,,Noruega
354,Oman,Oman,,,Omán
355,Pakistan,Pakistan,,,Pakistán
356,Palau,Palaos,,,Palau
357,"Palestine, State of",Autorité Nationale Palestinienne,,,"Palestina, Estado de"
358,Panama,Panama,,,Panamá
359,Papua New Guinea,Papouasie-Nouvelle-Guinée,,,Papúa Nueva Guinea
360,Paraguay,Paraguay,,,Paraguay
361,Peru,Pérou,,,Peru
362,Philippines,Philippines,,,Filipinas
363,Pitcairn,Pitcairn,,,Pitcairn
364,Poland,Pologne,,,Polonia
365,Portugal,Portugal,,,Portugal
366,Puerto Rico,Porto Rico,,,Puerto Rico
367,Qatar,Qatar,,,Katar
368,Reunion Island,Ile de la Réunion,,,Isla reunión
369,Romania,Roumanie,,,Rumania
370,Russian Federation,"Russie, Fédération de",,,Federación Rusa
371,Rwanda,Rwanda,,,Ruanda
372,Saint Kitts and Nevis,Saint-Kitts-et-Nevis,,,San Cristóbal y Nieves
373,Saint Lucia,Sainte-Lucie,,,Santa Lucía
374,Saint Vincent and the Grenadines,Saint-Vincent-et-les Grenadines,,,San Vicente y las Granadinas
375,Samoa,Samoa,,,Samoa
376,San Marino,Saint-Marin,,,San Marino
377,Sao Tome and Principe,Sao Tomé-et-Principe,,,Santo Tomé y Príncipe
378,Saudi Arabia,Arabie Saoudite,,,Arabia Saudita
379,Senegal,Sénégal,,,Senegal
380,Serbia,Serbie,,,Serbia
381,Seychelles,Seychelles,,,Seychelles
382,Sierra Leone,Sierra Leone,,,Sierra Leone
383,Singapore,Singapour,,,Singapur
384,Slovakia,Slovaquie,,,Eslovaquia
385,Slovenia,Slovénie,,,Eslovenia
386,Solomon Islands,"Salomon, Îles",,,Islas Salomón
387,Somalia,Somalie,,,Somalia
388,South Africa,Afrique du Sud,,,Sudáfrica
389,South Sudan,Soudan du Sud,,,Sudán del Sur
390,Spain,Espagne,,,España
391,Sri Lanka,Sri Lanka,,,Sri Lanka
392,Sudan,Soudan,,,Sudán
393,Suriname,Suriname,,,Suriname
394,Swaziland,Swaziland,,,Swazilandia
395,Sweden,Suède,,,Suecia
396,Switzerland,Suisse,,,Suiza
397,Syrian Arab Republic,"Syrienne, République Arabe",,,República Árabe Siria
398,"Taiwan, Province of China","Taïwan, Province de Chine",,,"Taiwan, provincia de China"
399,Tajikistan,Tadjikistan,,,Tayikistán
400,"Tanzania, United Republic of","Tanzanie, République-Unie de",,,"Tanzania, República Unida de"
401,Thailand,Thaïlande,,,Tailandia
402,Timor-Leste,Timor-Leste (Timor Oriental),,,Timor del Este
403,Togo,Togo,,,Ir
404,Tokelau,Tokelau,,,Tokelau
405,Tonga,Tonga,,,Tonga
406,Trinidad and Tobago,Trinité-et-Tobago,,,Trinidad y Tobago
407,Tunisia,Tunisie,,,Túnez
408,Turkey,Turquie,,,Turquía
409,Turkmenistan,Turkménistan,,,Turkmenistán
410,Turks and Caicos Islands,"Turks et Caïques, Îles",,,Islas Turcas y Caicos
411,Tuvalu,Tuvalu,,,Tuvalu
412,Uganda,Ouganda,,,Uganda
413,Ukraine,Ukraine,,,Ucrania
414,United Arab Emirates,Émirats Arabes Unis,,,Emiratos Árabes Unidos
415,United Kingdom,Royaume-Uni,,,Reino Unido
416,United States,États-Unis,,,Estados Unidos
417,Uruguay,Uruguay,,,Uruguay
418,Uzbekistan,Ouzbékistan,,,Uzbekistán
419,Vanuatu,Vanuatu,,,Vanuatu
420,"Venezuela, Bolivarian Republic of",Venezuela,,,"Venezuela, República Bolivariana de"
421,Viet Nam,Viêt Nam,,,Viet Nam
422,"Virgin Islands, British",Îles Vierges Britanniques,,,Islas Vírgenes Británicas
423,"Virgin Islands, U.S.",Îles Vierges des États-Unis,,,"Islas Vírgenes, EE. UU."
424,Wallis and Futuna,Wallis et Futuna,,,Wallis y Futuna
425,Western Sahara,Sahara Occidental,,,Sahara Occidental
426,Yemen,Yémen,,,Yemen
427,Zambia,Zambie,,,Zambia
428,Zimbabwe,Zimbabwe,,,Zimbabue
